Title,Author,State,District,Date of Challenge/Removal,Banned Status,Ban Origin
All Are Welcome,"Penfold, Alexandra",Florida,Florida School for the Deaf & the Blind,Mar-23,Banned from Libraries and Classrooms,Administration
All Because You Matter,"Charles, Tami",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
All Boys Aren't Blue,"Johnson, George M.",Florida,Escambia County Public Schools,Aug-22,Banned Pending Investigation,Formal Challenge
All Boys Aren't Blue,"Johnson, George M.",Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
All Boys Aren't Blue,"Johnson, George M.",Florida,School District of Osceola County,Mar-23,Banned from Libraries and Classrooms,Administration
All Boys Aren't Blue,"Johnson, George M.",Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
All the Bright Places,"Niven, Jennifer",Florida,Clay County School District,Oct-22,Banned Pending Investigation,Formal Challenge
All the Things We Do in the Dark,"Mitchell, Saundra",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
All the Things We Do in the Dark,"Mitchell, Saundra",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
All the Things We Do in the Dark,"Mitchell, Saundra",Florida,Highlands Schools,Mar-23,Banned from Libraries and Classrooms,Administration
All the Things We Do in the Dark,"Mitchell, Saundra",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
All Your Perfects,"Hoover, Colleen",Florida,Santa Rosa County District Schools,Jun-23,Banned Pending Investigation,Formal Challenge
Allegedly,"Jackson, Tiffany D.",Florida,Clay County School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
Allegedly,"Jackson, Tiffany D.",Florida,Escambia County Public Schools,Oct-22,Banned Pending Investigation,Formal Challenge
Allegedly,"Jackson, Tiffany D.",Florida,Martin County Schools,Mar-23,Banned from Libraries and Classrooms,Formal Challenge
Allegedly,"Jackson, Tiffany D.",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Almost Perfect,"Katcher, Brian",Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Almost Perfect,"Katcher, Brian",Florida,Duval County Public Schools,Mar-23,Banned from Libraries and Classrooms,Administration
